Dia looking for high dia master,"somebody who wants to duo bot and climb, i have a brain hope you do too",0.6040825317982456
Dia looking for high dia master,"going to be a positive player who knows what their doing, 0 toxicity or contributing to someone else tilting.",0.5795553385666881
Dia looking for high dia master,"hey, if you looking to get gold this season hmu and we'll get there fast :)",0.6118907083007797
Dia looking for high dia master,Ranking up silver smurf to plat before season ends. Just add AdrianeRzS. Only Silver 1+,0.594457505087018
Dia looking for high dia master,Looking for a duo to get diamond before season ends ! add me on league and lets win some games,0.6210993657904167
Dia looking for high dia master,Heyo I'm looking for someone to duo with that wants to have fun and win all we play / wants to rank up obviously ^^!,0.6078565067403878
Dia looking for high dia master,Looking for a support to help me carry. 2v5 expected.,0.6326233115236412
Dia looking for high dia master, Looking for a duo partner who doesn't feed.,0.6042921381533416
Dia looking for high dia master,LOOKING FOR AN AGGRESIVE DUOQ TO CLIMB TO DIAMOND,0.5890749447803256
Dia looking for high dia master,Looking for a support main to climb with.,0.6341709215137218
Dia looking for high dia master,friendly and wanting to climb :D,0.5725544671754661
Dia looking for high dia master,"Diamond Rush before the end of s8, Plat prefer.",0.5535045097010775
Dia looking for high dia master,Need someone to climb with. Someone that know how to play their lanes excellent.,0.592684049159092
Dia looking for high dia master,"Yo, I am a noob looking for someone to play with. I play mostly for fun, but I never int or rage. Add me on LoL if interested",0.6494893531800238
Dia looking for high dia master,Looking for some people to tag along and grind the rest of the season,0.5714377679438817
Dia looking for high dia master,Hi I like to carry games as an AD. I'm looking for a support main who likes to play aggressive and wants to climb!,0.6521573039765467
Dia looking for high dia master,LF a nice person to play bot lane together and have some fun. I main support.,0.6378358516216511
Dia looking for high dia master,Silver 3 here maining mid lane looking for a duo to climb,0.6466251072382131
Dia looking for high dia master,"Grinding out of silver, sup main. Let's get you fed",0.5943691250831162
Dia looking for high dia master,supp main searching for an adc,0.5706803914464106
Dia looking for high dia master,"Hey everyone, a gamer girl main Lulu looking for a cool and good duo to play with",0.6802347597584885
Dia looking for high dia master,Graves Jgl looking for a strong laner,0.5785508148305292
Dia looking for high dia master,Looking for a chill duo.,0.6318382323949986
Dia looking for high dia master,"duo adc would be preferred, but it doesn't matter too much. I also play a mean mid lane, so even accepting supports.",0.6066615790300445
Dia looking for high dia master,"Top/Jungle main, looking for someone who is serious about climbing, and someone who can and will play alot not quitting after 1 loss. i am looking to get better, learn, and build synergy with someone",0.6200000298948044
Dia looking for high dia master,plat 3 adc main looking for support main to duo with,0.6167516013538649
Dia looking for high dia master,trying to do the impossible and climb to plat in a few short weeks lol. I have the time so why not.,0.6122342415713468
Dia looking for high dia master,Support main LF adc to duo with in ranked,0.5509301968916528
Dia looking for high dia master,LF duo partner to hit gold with before the end of the season. Mostly play tanky supports such as leona and braum,0.59163543145482
Dia looking for high dia master,Im a Support main Silver2 atm looking for a duo to get plat by end of season,0.6768852427883822
Dia looking for high dia master,support main just looking to have fun and chill unranked,0.6066459302287665
Dia looking for high dia master,Looking for a sup main who is a chill bro and has a decent sense of humor and doesn't mind playing on stream with me,0.6500805270241014
Dia looking for high dia master,’m looking for some chill people to play Unranked with,0.6438690794533899
Dia looking for high dia master,silver 2 supp main LF adc to duo to gold with,0.5692345512453604
Dia looking for high dia master,Looking for Fun People,0.5804338608168816
Dia looking for high dia master,"Support player looking fora non-raging, chill and competent person to climb to gold with before season ends",0.6604376571430974
Dia looking for high dia master,"Hey all, I’m looking for someone to carry games with, willing to learn together and chill (as in not flamy, we gonna tryhard nonetheless).",0.6450552297260865
Dia looking for high dia master,"I’m not competitive, nor do I ever want to be competitive. I want to have fun in the game.",0.624112761057404
Dia looking for high dia master,I'm looking for competitive and friendly people that will want to improve and still have a fun time while we duo,0.6207340582742316
Dia looking for high dia master,Silver support main would prefer top/jungle/mid duo. No rude people please.,0.6279225102380063
Dia looking for high dia master,". im adc top main so any other roles would be good, please be serious about winning im trying to climb",0.6582755558910162
Dia looking for high dia master,I am a Bard player who is looking for a duo to diamond,0.6436113071069038
Dia looking for high dia master,"I dont care what rank you are, as long as you play support",0.6186778649116544
Dia looking for high dia master,"Looking for a support to duo with,will mainly be playing ranked. dont take things super serious,but would still like to win and if not learn from the game",0.6242719777822838
Dia looking for high dia master,Just trying to have don’t care if good or bad just some fun people to play with,0.6012941737302644
Dia looking for high dia master,"Looking for someone chill to play ranked with. Don't want any toxic people, just someone who can play their role, have fun, and wants to improve as well as rank up",0.6050744057284094
Aussie on NA looking for friends,Looking for chill norms/arams/blitz,0.5030681274753905
Aussie on NA looking for friends,Dia looking for high dia master,0.6492988121149573
Aussie on NA looking for friends,Aussie on NA looking for friends,1.0
Aussie on NA looking for friends,Looking to learn and have fun,0.7436801606858027
Aussie on NA looking for friends,Looking for chill nrorms,0.7410786203176004
Aussie on NA looking for friends,Under lvl 15 looking for people to partner with,0.7549821621640675
Aussie on NA looking for friends,Silver 4 looking for duo,0.6709787004950472
Aussie on NA looking for friends,Support/Mid D5 loooking for adc,0.5382167392265822
Aussie on NA looking for friends,Looking for friends,0.8427820593061699
